These are the citation-ids missing links in the 5.0 file, with the line of text they're on, for context in joining up manually.

id	text
cma-housebuilding-2025	- [unknown] Net effect of developer consolidation on build‑out speed. [^cma-housebuilding-2025]
co-betterreg-2025	**Mechanism(s):** “One‑in‑two‑out” approach for SME‑targeted rules; raising thresholds (e.g., for some reporting duties); simpler data protection checklists for firms under ~50 employees; pruning legacy requirements with low safety value; guidance to regulators on proportionate enforcement. [^co-betterreg-2025]
college-policing-2025	**Timeline & milestones:** Bill passage 2025; College of Policing training packages; post‑implementation review at 12 months. [^college-policing-2025]
companieshouse-2025	**Intent (plain language):** Digitise company accounts and tax returns, reduce error and fraud, and close the tax gap — but at the cost of new software and admin for the small businesses. [^companieshouse-2025]
cpag-2025	**Risks & constraints:** [risk: political] Sustained criticism from anti‑poverty groups; [risk: data-gap] need for up‑to‑date cohort impact estimates. [^cpag-2025]
cps-charges-2025	- [impact-proven] [area: policing] [horizon: short] Hundreds of arrests and charges following coordinated operations. [^cps-charges-2025]
cps-policy-2025	- [impact-likely] [area: justice] [horizon: medium] More consistent victim information and updates across police and CPS. [^cps-policy-2025]
crown-2025	**Intent (plain language):** Modernise Crown Estate governance/borrowing to support seabed leasing and partnerships incl. with GBE. [^crown-2025]
csis-brief-2025	- [unknown] US political trajectory; European industrial ramp‑up speed. [^csis-brief-2025]
curriculum-plan-2025	**Intent:** Improve core skills and broaden access to arts and digital learning, with targeted support for struggling pupils. [^curriculum-plan-2025]
dbt-exports-2025	**Distributional effects:** Strengthens European security; UK industry gains from orders and maintenance. [^dbt-exports-2025]
dbt-ia-2025	**Costs & funding:** Compliance and reporting costs for large firms; set‑up and running costs for SBC enforcement (publicly funded). [^dbt-ia-2025]
dbt-ia-prm-2025	**Costs & funding:** Compliance costs for producers/marketplaces; consumer benefits. [^dbt-ia-prm-2025]
dbt-impact-2025	**Costs & funding:** Compliance investment for platforms/sellers; regulator resourcing for investigations; benefits from fewer injuries and recalls. [^dbt-impact-2025]
dbt-latepay-2025	**Intent (plain language):** Stop big firms paying small suppliers months late. Get cash moving on time so SMEs don’t need to act like banks for their customers. [^dbt-latepay-2025]
dbt-smallbiz-2025	- [impact-likely] [area: economy] [horizon: short] Offsets protect micro‑businesses’ viability. [^dbt-smallbiz-2025]
dcms-creative-2025	**Intent:** Support film, TV, music, and games through targeted funds and skills programmes; maintain strong public service broadcasting. [^dcms-creative-2025]
dcms-ifr-guide-2025	**Mechanism(s):** Primary legislation; licensing of clubs; financial sustainability tests; strengthened Owners’ and Directors’ checks; backstop powers to intervene. [^dcms-ifr-guide-2025]
dcms-ifr-timeline-2025	**Timeline & milestones:** 2025-06 shadow operation; 2026–27 full licensing in phases. [^dcms-ifr-timeline-2025]
dcms-impact-ifr-2025	**Costs & funding:** Regulator funded by a levy on clubs; limited Exchequer impact. [^dcms-impact-ifr-2025]
deal-details-2025	**Mechanism(s):** Bilateral administrative agreement; fast‑track processing at arrival sites; French reception and UK family‑reunion pathway. [^deal-details-2025]
deal-safeguards-2025	**Risks & constraints:** [risk: delivery] Capacity limits (initially dozens per week); [risk: legal] individual challenges; [risk: political] French and UK domestic pressures. [^deal-safeguards-2025]
deal-timeline-2025	**Timeline & milestones:** Pilot launch (2025 Q3); review point after first months; decision on expansion with EU partners in 2026. [^deal-timeline-2025]
defra-bonus-ban-2025	- [impact-proven] [area: water] [horizon: short] Executive bonuses have been banned at multiple worst-performing companies (including Thames and Yorkshire Water). [^defra-bonus-ban-2025]
defra-enforcement-funding-2025	**Costs & funding:** Funded by DEFRA settlement; fine revenues directed to environmental improvements; polluter-pays cost recovery. [^defra-enforcement-funding-2025]
defra-nutrient-2025	**Risks & constraints:** [risk: legal][risk: political] Local opposition; judicial review risk; infrastructure and water constraints in hotspots. [^defra-nutrient-2025]
defra-special-measures-2025	**Intent (plain language):** Give regulators sharper tools to stop sewage pollution and poor service, and to make company bosses personally accountable. [^defra-special-measures-2025]
defra-unified-regulator-2025	**Intent (plain language):** End the “blame game” between agencies by creating a single, accountable regulator for water quality, customer service, and investment. [^defra-unified-regulator-2025]
desnz-community-2025	**Distributional effects:** Rural/urban communities; host benefits via community funds. [^desnz-community-2025]
desnz-gbe-2025	- [impact-proven] [area: energy] [horizon: short] Company established with interim board/CEO; initial local solar programme launched. [^desnz-gbe-2025]
desnz-grid-2025	- [impact-likely] Faster utilities and grid approvals would unlock constrained sites earlier. [^desnz-grid-2025]
desnz-nuclear-2025	**Intent (plain language):** Expand firm low-carbon capacity via large reactors and SMR fleet; secure energy security/jobs. [^desnz-nuclear-2025]
desnz-ps-2025	- [impact-proven] [area: energy] [horizon: short] Initial grants issued; rooftop installs commenced across public estate. [^desnz-ps-2025]
desnz-solar-ia-2025	**Costs & funding:** Developer-borne; minimal Exchequer impact. [^desnz-solar-ia-2025]
desnz-whd-2025	**Intent (plain language):** Provide a one‑off bill credit to low‑income households’ electricity accounts during winter. [^desnz-whd-2025]
dfe-breakfast-2025	**Intent (plain language):** Offer a free, healthy breakfast before lessons in every primary school, to help children learn and to support working parents. [^dfe-breakfast-2025]
dfe-capital-2025	**Intent:** Ensure sufficient state school places where private‑to‑state transfers and demographics increase demand. [^dfe-capital-2025]
dfe-census-2025	- [impact-proven] [area: education] [horizon: short] Most new state enrolments from private exits absorbed without widespread class size breaches. [^dfe-census-2025]
dfe-census-2025; ^isc-tracker-2025	- [impact-proven] [area: education] [horizon: short] Private school rolls fell by roughly 1.9% mid‑year (≈10–11k pupils), with dozens of small schools announcing closures/mergers; state capacity absorbed most leavers so far. [^dfe-census-2025; ^isc-tracker-2025]
dfe-comm-2025	- [impact-likely] [area: education] [horizon: medium] Reduced inconsistency across schools; better parental engagement. [^dfe-comm-2025]
dfe-fsm-2024	**Intent (plain language):** Give every child in a family receiving Universal Credit a free school lunch, to reduce hunger and help with the cost of living. [^dfe-fsm-2024]
dfe-la-letters-2025	- [unknown] Localised pressure in already full state schools; uneven effects by region. [^dfe-la-letters-2025]
dfe-levy-2025	- [unknown] Levy rules and incentives still under review. [^dfe-levy-2025]
dfe-meals-2024	**Mechanism(s):** National eligibility change; grant‑funded breakfast clubs; simple sign‑up processes; schools choose delivery model. [^dfe-meals-2024]
dfe-meals-2024; ^breakfast-2025	**Timeline & milestones:** FSM expansion live from Sept 2024; breakfast clubs phased in 2025/26 toward national coverage by 2027. [^dfe-meals-2024; ^breakfast-2025]
dfe-meals-2024; ^breakfast-report-2025	- [impact-proven] [area: education] [horizon: short] Hundreds of thousands more children receiving free lunches; millions of breakfasts served in pilot areas; early reports of better punctuality and focus. [^dfe-meals-2024; ^breakfast-report-2025]
dfe-recruit-2025	- [impact-proven] [area: education] [horizon: short] New pay deals agreed; recruitment campaigns underway; early upticks in applications. [^dfe-recruit-2025]
dfe-skills-2025	**Mechanism(s):** Devolved or pooled skills budgets; regional skills plans co‑signed by mayors, employers and providers; outcome‑based funding pilots. [^dfe-skills-2025]
dfe-workforce-2025	**Intent:** Stabilise the workforce by resolving strikes, improving pay, and recruiting more teachers (with a headline goal of several thousand extra teachers over the Parliament). [^dfe-workforce-2025]
dfit-rail-2025	**Costs & funding:** Reorganisation costs within DfT/GBR; capital from existing rail budgets; city‑region complements for stations and interchanges. [^dfit-rail-2025]
dft-density-2025	- [impact-hypothetical] [area: transport] Higher density near public transport supports lower car use. [^dft-density-2025]
dhsc-impact-2024	**Costs & funding:** Retail compliance costs; trading standards resourcing; savings from lower healthcare demand over time. [^dhsc-impact-2024]
dhsc-sc-2025	**Intent:** Stabilise adult social care so people can leave hospital sooner and live independently for longer, and make services work better with the NHS. [^dhsc-sc-2025]
dhsc-tobacco-bill-2024	**Intent:** Phase out tobacco sales to the next generation and curb youth vaping, including a ban on disposable vapes. [^dhsc-tobacco-bill-2024]
dluhc-brownfield-2025	**Intent (plain language):** Build more homes where people want to live by allowing mid‑rise apartment blocks near stations and reusing brownfield (previously developed) land, with design rules to fit local character. [^dluhc-brownfield-2025]
dluhc-deals-2025	- [impact-proven] [area: devolution] [horizon: short] Multiple new devolution deals agreed since July 2024; more areas in formation. [^dluhc-deals-2025]
dluhc-fees-2025	**Costs & funding:** LA resourcing/fees reforms; minimal Exchequer cost. [^dluhc-fees-2025]
dluhc-growthfund-2025	**Mechanism(s):** Seed capital from central government; local co‑investment; returns recycled; oversight via local audit and outcome dashboards. [^dluhc-growthfund-2025]
dluhc-ia-2025	**Costs & funding:** Minimal central cost; council plan‑making and inspection time increase. [^dluhc-ia-2025]
dluhc-impact-2025	**Costs & funding:** Portal/ombudsman funded by fees; limited Exchequer spend. [^dluhc-impact-2025]
dluhc-impacts-2024	- [unknown] Retrofit feasibility and costs for existing buildings; equality impact in mixed‑use venues. [^dluhc-impacts-2024]
dluhc-levy-2025	**Intent (plain language):** Make developer contributions simpler and harder to game so communities reliably get affordable homes, schools and transport from new sites. [^dluhc-levy-2025]
dluhc-newtowns-2025	**Intent (plain language):** Create well‑planned new communities with schools, clinics and transport from day one, using modern versions of New Towns powers. [^dluhc-newtowns-2025]
dluhc-nppf-2025	**Intent (plain language):** Restore a clear national push to build more homes by bringing back local targets, tightening the “presumption in favour of sustainable development”, and allowing limited use of poor‑quality Green Belt (“grey‑belt”) land where it unlocks housing near jobs and transport. [^dluhc-nppf-2025]
dluhc-nutrients-2025	- [unknown] Near‑term supply remains constrained until upgrades come online. [^dluhc-nutrients-2025]
dluhc-perf-2025	**Intent (plain language):** Speed up decisions by letting councils recover more costs through fees, hire more planners, and let professional officers decide routine cases faster. [^dluhc-perf-2025]
dluhc-permissions-2025	- [impact-proven] Permissions and completions fell year‑on‑year in 2024/25; inspectorate and council capacity tight. [^dluhc-permissions-2025]
dluhc-trailblazer-2025	- [impact-proven] [area: devolution] [horizon: short] First wave of established mayors received integrated settlements, replacing fragmented pots. [^dluhc-trailblazer-2025]
dsit-inclusion-2025	**Distributional effects:** Benefits everyday users and small businesses by putting them in control of their data; risk of excluding people without smartphones or formal ID unless inclusion measures are built in. [^dsit-inclusion-2025]
dsit-roadmap-2025; ^dsit-cfe-2025	- [impact-likely] [area: digital] [horizon: medium] First Smart Data schemes (energy/telecoms) expected via secondary rules from 2025–26, building on pilots that cut hassle and fraud. [^dsit-roadmap-2025; ^dsit-cfe-2025]
dsit-smartdata-2025	**Intent (plain language):** Turn the new legal powers into practical schemes that let people share their usage and billing data (with permission) to find cheaper tariffs, get fairer deals, and access green or growth finance more easily. [^dsit-smartdata-2025]
dua-act-2025; ^dvf-guidance-2025	**Mechanism(s):** Statutory Digital Verification Services: government certifies providers, publishes a register and trust mark, and allows controlled data checks to verify identity attributes (such as age or right to work). Services must be private by default and consent-based. [^dua-act-2025; ^dvf-guidance-2025]
dua-act-2025; ^ofdia-register-2025	**Mechanism(s):** Primary legislation that (1) lets ministers create sector-specific Smart Data regulations; (2) establishes a statutory Digital Verification Services regime with a government-run register of certified identity providers (via the Office for Digital Identities and Attributes, OfDIA); and (3) brings other data enablers like the National Underground Asset Register into scope. [^dua-act-2025; ^ofdia-register-2025]
dwp-admin-2025	**Intent (plain language):** Make Universal Credit debt deductions gentler and restart more regular benefit reassessments to keep awards up to date. [^dwp-admin-2025]
dwp-equality-2025	**Mechanism(s):** Primary legislation; commencement from April 2026 for new health‑related claims; transitional protections for existing claimants with severe or lifelong conditions. [^dwp-equality-2025]
dwp-guidance-2025	**Mechanism(s):** Rule retained in Child Tax Credit and the child elements of Universal Credit; no new legislation in 2024–25. [^dwp-guidance-2025]
dwp-labour-2025	- [impact-proven] [area: education] [horizon: short] Parents’ out‑of‑pocket costs fall where places exist; labour‑market participation improves for some parents. [^dwp-labour-2025]
dwp-moj-work-2025	- [impact-likely] [area: justice] [horizon: medium] More prison‑to‑work schemes and employer MoUs signed. [^dwp-moj-work-2025]
dwp-pip-review-2025	**Intent (plain language):** Pause proposed changes to PIP eligibility while an independent review looks at how to better assess and support disabled people. [^dwp-pip-review-2025]
dwp-stats-2025	- [impact-proven] [area: welfare] [horizon: short] Lower deduction caps leave more cash each month for hundreds of thousands of households. [^dwp-stats-2025]
dwp-uc-adjust-2025	**Intent (plain language):** Raise the basic Universal Credit amount for everyone, while changing the extra disability‑related top‑up for new claims to focus higher support on those with the most severe, long‑term conditions. [^dwp-uc-adjust-2025]
ea-enforcement-plan-2025	**Intent (plain language):** Scale up criminal and civil enforcement against serious polluters, and speed up penalties for repeated lower-level offences. [^ea-enforcement-plan-2025]
ea-enforcement-stats-2025	- [impact-proven] [area: environment] [horizon: short] More live criminal investigations at underperforming companies; rapid fixed penalties for minor, repeated breaches. [^ea-enforcement-stats-2025]
ea-monitoring-2025	- [impact-likely] [area: environment] [horizon: medium] Real-time monitoring and automatic fines are expected to cut routine sewage discharges. [^ea-monitoring-2025]
ea-nutrients-2025	- [impact-likely] [area: environment] Treatment upgrades and wetlands reduce nutrient loads over time. [^ea-nutrients-2025]
edf-hpc-2025	**Intent (plain language):** Deliver 6.4 GW of firm low-carbon power and sustain nuclear skills base. [^edf-hpc-2025]
eef-breakfast-2016	- [impact-likely] [area: welfare] [horizon: medium] Better punctuality and focus in class; childcare support (time buffer) for parents. [^eef-breakfast-2016]
eef-earlyyears-2024	- [impact-likely] [area: education] [horizon: medium] More stable attendance and early language gains if quality is maintained. [^eef-earlyyears-2024]
eef-fsm-2020	- [impact-likely] [area: welfare] [horizon: medium] Improves attendance and concentration; saves families ~£500 per child per year. [^eef-fsm-2020]
eef-meals-2020	- [impact-likely] [area: education] [horizon: medium] Attendance and attainment benefits where take‑up is high. [^eef-meals-2020]
eef-meta-2023	- [impact-likely] [area: education] [horizon: medium] Sustained tutoring and subject hubs raise attainment, especially for disadvantaged pupils. [^eef-meta-2023]
eef-programmes-2025	**Mechanism(s):** Tutoring and catch‑up schemes; subject hubs; “arts premium” pilots; digital skills pathways tied to local colleges. [^eef-programmes-2025]
eef-teach-2025	- [impact-likely] [area: education] [horizon: medium] Reduced vacancy rates in shortage subjects if incentives maintained. [^eef-teach-2025]
ehrc-enforcement-2025	**Intent:** Ensure public bodies apply the law correctly on single‑sex services (e.g., hospital wards, changing rooms) after the Court ruling. [^ehrc-enforcement-2025]
employment-allowance-2025	**Mechanism(s):** NLW increased (toward two‑thirds of median pay); Employment Allowance raised (cuts employer National Insurance bills for small firms); temporary 75% business‑rates relief continued for retail, hospitality and leisure; limited support for very small employers on auto‑enrolment pension changes. [^employment-allowance-2025] [^rates-relief-2025]
employment-rights-bill-2025	**Intent (plain language):** Improve job security and predictability — especially for people on zero‑hours or precarious contracts — while keeping clear routes to hire flexibly. [^employment-rights-bill-2025]
employment-rights-ia-2025	- [impact-likely] [area: labour-market] [horizon: medium] Around one million workers could see more predictable hours and income. [^employment-rights-ia-2025]
energy-pilot-stats-2025	- [impact-proven] [area: energy] [horizon: short] Early energy Smart Data services already help hundreds of thousands compare tariffs or plan retrofits, cutting admin time for households and SMEs. [^energy-pilot-stats-2025]
enforcement-ops-2025	**Mechanism(s):** More enforcement visits; charter flights; updated readmission deals (e.g., with Albania); case‑resolution drives. [^enforcement-ops-2025]
equality-impact-2025	**Risks & constraints:** [risk: legal] compatibility with international obligations; [risk: political] pressure from both sides; [risk: delivery] IT/process readiness. [^equality-impact-2025]
erp-2025	**Mechanism(s):** Extra operating lists (evenings/weekends), surgical hubs, community diagnostic centres, targeted funding for high-volume specialties, and operational grip on A&E standards. [^erp-2025]
eso-curtail-2025	- [unknown] Grid constraint curtailment risks in high-solar regions. [^eso-curtail-2025]
eso-fes-2025	- [impact-likely] [area: energy] [horizon: medium] Flexibility build (storage/demand response) identified as critical. [^eso-fes-2025]
eso-plan-2025	**Distributional effects:** Constraint relief for high-renewable regions; industrial connections improved. [^eso-plan-2025]
eso-queue-2025	**Mechanism(s):** Queue management rules; TEC amnesty; connect-and-manage pilots; strategic network planning. [^eso-queue-2025]
ets-link-2025	**Intent (plain language):** Explore linking UK/EU carbon markets to stabilise prices and reduce friction for cross-border industry. [^ets-link-2025]
eu-uk-2025	- [unknown] Political timeline and scope of mutual recognition. [^eu-uk-2025]
family-reunion-2025	**Mechanism(s):** Annual resettlement quotas; caseworker teams overseas; streamlined family‑reunion processes tied to the France pilot. [^family-reunion-2025]
fcdo-me-2025	**Intent:** Use diplomatic signals (potential recognition of Palestine tied to ceasefire/roadmap) and tighten scrutiny of sensitive arms exports. [^fcdo-me-2025]
fcdo-ukr-2025	**Intent:** Sustain military aid, training and industrial scaling for Ukraine; galvanise European partners and maintain US engagement. [^fcdo-ukr-2025]
first-returns-2025	- [impact-proven] [area: migration] [horizon: short] First detentions and scheduled returns completed under the pilot. [^first-returns-2025]
fmb-2025	- [impact-hypothetical] [area: business] Predictability lowers carrying costs for SME builders. [^fmb-2025]
fno-brief-2025	**Distributional effects:** Public safety benefit from deporting serious offenders; limited community impact elsewhere. [^fno-brief-2025]
france-portal-2025	**Timeline & milestones:** Annual quota confirmations; family‑reunion portal aligned with France pilot (2025 Q3). [^france-portal-2025]
fsb-brief-2025	- [impact-likely] [area: business] [horizon: short] Tighter terms could reduce average days‑to‑pay and cut overdue receivables for SMEs by a material margin. [^fsb-brief-2025]
fsm-policy-2024	[^fsm-policy-2024]: Placeholder: FSM expansion policy — to be added.
fsm-policy-2024; ^breakfast-2025	**Intent:** Expand free school meals to all families on Universal Credit and roll out free breakfast clubs for primary pupils, to improve nutrition, attendance and readiness to learn. [^fsm-policy-2024; ^breakfast-2025]
gbe-act-2025	**Intent (plain language):** Publicly owned clean-power developer to accelerate build-out of strategic generation and crowd-in private capital. [^gbe-act-2025]
gbe-act-2025; ^desnz-gbe-2025	**Mechanism(s):** Primary legislation; state-owned company with investment mandate; JV structures; CfD/partnership participation. [^gbe-act-2025; ^desnz-gbe-2025]
gbe-plan-2025	- [impact-likely] [area: energy] [horizon: medium] Pipeline identified subject to FIDs and grid slots. [^gbe-plan-2025]
gben-smr-2025	- [impact-likely] [area: energy] [horizon: long] SMR competition outcome and siting work under way. [^gben-smr-2025]
geo-gra-2024	**Mechanism(s):** No bill introduced; existing GRA process continues (medical diagnosis, evidential requirements). [^geo-gra-2024]
gmca-bee-2025	- [impact-proven] [area: transport] [horizon: short] Greater Manchester completed bus franchising, launched one brand and integrated fares; early data show improved punctuality and rising patronage. [^gmca-bee-2025]
hbf-viability-2025	- [unknown] Viability in weak markets without deeper grants. [^hbf-viability-2025]
he-2025	**Distributional effects:** More affordable and mixed‑tenure homes; potential first‑time buyer gains. [^he-2025]
he-funding-2025	- [impact-proven] [area: education] [horizon: short] Inflation‑linked fee uprating eases acute pressure at some universities. [^he-funding-2025]
he-funding-2025; ^student-visas-2025	**Intent:** Stabilise university finances (including fee uprating with inflation) while tightening some student visa routes; find balance between sector health and migration policy. [^he-funding-2025; ^student-visas-2025]
he-numbers-2025	- [impact-likely] [area: nhs] [horizon: medium] More training slots increase domestic supply over 3–5 years. [^he-numbers-2025]
health-act-bonus-2025	**Intent:** Stop NHS executives receiving bonuses where the organisation is missing core care standards, to restore public trust and focus leadership on outcomes. [^health-act-bonus-2025]
hee-regions-2025	**Distributional effects:** Helps underserved regions if training and placements are targeted. [^hee-regions-2025]
hepi-2025	- [unknown] Long‑term balance between income stability and student flows. [^hepi-2025]
hm-treasury-2024	**Mechanism(s):** National eligibility change; funding provided to schools and local authorities to meet higher demand. [^hm-treasury-2024]
hmicfrs-2025	- [impact-proven] [area: policing] [horizon: short] Variability persists between forces; training gaps identified. [^hmicfrs-2025]
hmip-annual-2025	- [impact-proven] [area: justice] [horizon: short] Violence/self‑harm remain pressured in overcrowded sites. [^hmip-annual-2025]
hmpps-inspectorate-2025	**Risks & constraints:** [risk: public-safety][risk: delivery] Probation capacity, data quality for risk assessment, court backlogs feeding inflow. [^hmpps-inspectorate-2025]
hmrc-mtd-2025	**Mechanism(s):** Mandated software filing at Companies House; closure of HMRC’s free Company Accounts and Tax Online (CATO) service from April 2026; “Making Tax Digital” (MTD) for Income Tax extended to more sole traders/landlords in phases (thresholds stepping down to ~£20k by 2028); tougher late‑filing penalties; stronger HMRC enforcement. [^cato-notice-2025] [^hmrc-mtd-2025]
hmrc-nlw-2025	**Intent (plain language):** Raise the legal minimum hourly pay and offset the cost for small firms through tax relief on employer National Insurance contributions. [^hmrc-nlw-2025]


hmt-aispend-2025	**Costs & funding:** Public funding for staff, secure compute and partnerships; relatively modest compared with the potential costs of unsafe deployment. [^hmt-aispend-2025]
hmt-alloc-2025	**Costs & funding:** New revenue recycled to education; transition grants available for local authorities to handle hotspots. [^hmt-alloc-2025]
hmt-budget-2025	**Costs & funding:** Fiscal cost via the Employment Allowance and business‑rates relief; potential revenue effects from slower profit growth. [^hmt-budget-2025]
hmt-csr-2025	**Costs & funding:** Capital grants for remediation; local infrastructure support (schools, GP capacity). [^hmt-csr-2025]
hmt-ets-2025	**Costs & funding:** Administrative; no major Exchequer cost. [^hmt-ets-2025]
hmt-fraud-2025	- [impact-likely] [area: economy] [horizon: medium] Faster, safer onboarding across renting, hiring and payments reduces fraud and admin burden. [^hmt-fraud-2025]
hmt-housingfin-2025	**Intent (plain language):** Unlock stalled schemes with guarantees, low‑cost finance, and partnerships so builders and housing associations can start projects during a tough financing cycle. [^hmt-housingfin-2025]
hmt-ia-2025	**Costs & funding:** Exchequer cost is mainly guarantee fees and expected losses; benefits include higher business formation and investment. [^hmt-ia-2025]
hmt-sr-2025	- [impact-proven] [area: defence] [horizon: short] Initial uplift of ~£2.2bn in 2025/26 allocated to kit, munitions and readiness. [^hmt-sr-2025]
hmt-sr-2025; ^sdr-2025	**Mechanism(s):** Multi‑year spending plans; Spring/Autumn fiscal events; Strategic Defence Review (SDR) alignment; savings and reprioritisations across departments. [^hmt-sr-2025; ^sdr-2025]
hmt-ukib-2025	**Mechanism(s):** Capitalisation of UKIB; equity/debt instruments; strategic forums with public investors. [^hmt-ukib-2025]
hmt-wfp-2025	**Mechanism(s):** Means‑testing decision (2024) reduced eligible pensioners; 2025 change raised the income threshold to around £35,000 so about 9 million receive it again. [^hmt-wfp-2025]


ho-backlog-plan-2024	**Intent (plain language):** Reduce the number of undecided asylum cases by hiring and training more decision‑makers, using simpler forms for clear cases, and speeding up interviews. [^ho-backlog-plan-2024]
ho-costs-2025	**Costs & funding:** Flight and detention costs within HO envelope; some recoveries via bilateral cost‑sharing. [^ho-costs-2025]
ho-ct-2025	**Distributional effects:** Humanitarian and security implications abroad; domestic political salience. [^ho-ct-2025]
